"Algorithm","Hash","Path","SizeBytes"
"SHA256","A5C69A3B50A001712C2A3DAF78773A8024C4E305340F31B999E32E9F46B10AEA","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\151.0.7922.138_CHROME_INSTALL-FFDC6407.pf","45984"
"SHA256","A4929E843ED3A82FFE6CE1D86DB764E3A34933CB10D77154330DDCB65DF87FF0","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\151.0.7922.172_CHROME_INSTALL-95EF411D.pf","45915"
"SHA256","302599C6C5CC6D5AF97483ACFC9997D43A525169D6E3EFD8B136823C2C9875E8","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ACROBAT.EXE-F94F9B29.pf","52771"
"SHA256","9A6A7DE6A6BC8099A72374F94D05069A82742CF6B2B680F7C92B243F0F20E5D6","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ACROBAT.EXE-F94F9B2A.pf","4639"
"SHA256","652CF7E001663F7D59F20DDA7923E32C8CC3F14076E16457A96E4EE78F22E682","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ACROBAT.EXE-F94F9B30.pf","12420"
"SHA256","7388870CA9FBF6CB182F3BB07829F26895C369BF87F15BADE3BBBE2004741089","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ADNOTIFICATIONMANAGER.EXE-E7F9E8B8.pf","11800"
"SHA256","F186DB05336AF8271058CEDC96C3B7230A914625D055D9F1B7CEF351B569EDA5","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ADOBEARM.EXE-F9223367.pf","49969"
"SHA256","00FF7579C70066C933D7F826F6DE14F3BAA9916BF624461C8D49BC031F4A99BE","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ADOBEARMHELPER.EXE-C537EF0C.pf","12139"
"SHA256","CCF16004CDB7F56E5740F0BA18F3FBBD6EF7C480FB0484E3CEC8F711461998F9","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ADOBEARMHELPER.EXE-FA58E1EF.pf","5700"
"SHA256","713F49C9673A82A389530955B163CAC29A15CDAD73908DABE13B6D2D90863C71","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ADOBEARM_UCB.EXE-C04E772A.pf","6559"
"SHA256","C6C8D72A5E58BCC9FB256B64C9D98ED215C8EA95DA40DD56D9209F7E06E4E389","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\ADOBECOLLABSYNC.EXE-A30339B6.pf","28044"
"SHA256","C68D38095DFB2E9B530815D247EDE642914F29DF5DFAB33C109F9DBDAD4F4147","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\AM_BASE.EXE-3F70DC95.pf","2302"
"SHA256","D0F474BBBAAF93D94B0C47B73916FCFE691859FB31CD03B2149411BDD10F6488","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\AM_BASE_PATCH1.EXE-B2ACC39D.pf","2241"
"SHA256","DD261F3BA05FAE58640B8FA77248B79275D807C1EFEE05E2EC946231CE3307CC","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\AM_DELTA.EXE-78CA83B0.pf","3386"
"SHA256","32AF82BCEBE88153759C8B1B5E27929FDA11AC173245F4C514CDCC71FB879F26","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\AM_ENGINE.EXE-F1C956E4.pf","2989"
"SHA256","BA9F3EA88E9CC5C678AB17933F671D2656B9538DDF5026210EB97AA9CC7DB1DA","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\AM_ENGINE_PATCH_1.1.26060.300-49F3FAFB.pf","2525"
"SHA256","2C09878E9008BBE62372DE03E8BBEC1E12894EF2CA85CF2B4ED8B475BA817786","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_7\run_1\artefacts\prefetch\APPACTIONS.EXE-D77D7F4C.pf","29797"
